Source,Target,Weight
0,61,4.0
1,61,11.0
1,77,4.0
1,81,3.0
1,103,14.0
1,106,9.0
1,132,16.0
1,145,10.0
1,191,9.0
1,231,4.0
1,200,11.0
1,226,23.0
1,227,3.0
1,232,3.0
1,230,6.0
1,233,4.0
2,55,7.0
2,90,3.0
2,133,12.0
2,205,16.0
2,217,3.0
3,116,6.0
3,221,3.0
3,234,4.0
4,80,4.0
4,228,3.0
5,191,5.0
5,195,5.0
5,227,6.0
6,24,3.0
6,60,4.0
6,61,9.0
6,96,5.0
6,129,6.0
6,235,9.0
7,133,6.0
8,133,13.0
8,160,6.0
8,213,5.0
9,17,18.0
9,136,5.0
9,217,5.0
10,54,5.0
10,89,13.0
10,184,21.0
10,236,4.0
11,12,11.0
11,16,4.0
11,22,4.0
11,70,12.0
11,237,3.0
11,174,6.0
12,22,5.0
12,70,11.0
12,237,3.0
12,170,4.0
12,174,5.0
13,238,3.0
13,17,3.0
13,169,4.0
13,239,3.0
13,217,7.0
14,79,6.0
14,104,4.0
14,206,4.0
15,38,7.0
15,240,4.0
15,75,4.0
15,127,4.0
15,133,12.0
15,142,4.0
15,156,3.0
15,160,4.0
15,187,5.0
15,241,4.0
15,221,7.0
15,242,3.0
16,87,3.0
17,52,4.0
17,80,4.0
17,243,8.0
17,91,3.0
17,97,3.0
17,100,3.0
17,136,15.0
17,182,8.0
17,195,4.0
17,244,3.0
17,217,16.0
17,245,3.0
17,221,7.0
17,246,3.0
17,247,12.0
17,248,3.0
18,77,3.0
19,133,4.0
19,160,5.0
19,209,8.0
19,211,3.0
19,217,3.0
20,217,3.0
21,80,3.0
21,221,3.0
22,70,11.0
22,87,3.0
22,170,4.0
22,226,3.0
23,127,5.0
23,187,5.0
23,199,4.0
23,201,3.0
23,217,3.0
23,221,17.0
24,28,9.0
24,30,4.0
24,35,3.0
24,60,18.0
24,61,75.0
24,84,5.0
24,89,4.0
24,93,3.0
24,96,6.0
24,98,8.0
24,111,42.0
24,129,3.0
24,141,8.0
24,249,3.0
24,165,8.0
24,184,22.0
24,189,7.0
24,191,3.0
24,250,21.0
24,251,3.0
24,226,3.0
24,252,3.0
24,253,3.0
24,254,3.0
25,61,4.0
26,64,4.0
27,92,7.0
27,111,3.0
27,121,3.0
27,255,5.0
28,61,13.0
28,111,11.0
28,184,3.0
28,250,3.0
29,187,5.0
29,221,4.0
30,60,9.0
30,61,14.0
30,111,3.0
30,137,3.0
30,179,3.0
30,225,5.0
30,226,4.0
31,61,3.0
31,103,4.0
31,167,4.0
31,226,7.0
32,171,3.0
32,209,4.0
33,133,4.0
34,81,3.0
35,61,3.0
35,111,5.0
35,236,3.0
36,162,3.0
36,256,4.0
37,50,8.0
37,76,9.0
37,133,45.0
37,156,5.0
37,176,19.0
37,206,3.0
37,217,3.0
37,224,5.0
37,257,5.0
38,43,14.0
38,56,6.0
38,75,4.0
38,113,50.0
38,131,17.0
38,133,4.0
38,143,5.0
38,258,33.0
38,193,7.0
38,194,6.0
38,221,8.0
39,133,3.0
39,259,3.0
40,240,3.0
41,51,3.0
41,123,3.0
42,155,6.0
42,171,4.0
42,209,5.0
43,258,3.0
44,123,4.0
45,260,5.0
46,89,3.0
46,261,3.0
46,161,7.0
46,184,7.0
46,236,4.0
47,70,3.0
47,94,4.0
48,255,3.0
49,75,5.0
50,55,3.0
50,133,3.0
50,176,8.0
51,61,3.0
51,70,3.0
51,74,3.0
51,94,4.0
51,110,11.0
51,120,4.0
51,123,13.0
51,130,3.0
51,140,10.0
51,262,6.0
51,152,3.0
51,263,6.0
51,162,3.0
51,166,4.0
51,170,4.0
51,264,3.0
51,185,3.0
51,265,3.0
51,191,3.0
51,195,7.0
51,266,4.0
51,208,5.0
51,217,5.0
51,256,13.0
51,226,5.0
51,227,3.0
51,267,10.0
52,91,5.0
52,217,6.0
53,61,9.0
53,184,3.0
54,61,3.0
54,89,5.0
54,138,3.0
54,184,7.0
55,133,20.0
55,268,4.0
55,217,3.0
56,113,4.0
56,258,3.0
57,217,3.0
58,65,4.0
58,133,11.0
58,209,3.0
59,97,4.0
59,100,4.0
60,61,50.0
60,96,6.0
60,98,4.0
60,109,7.0
60,111,14.0
60,121,7.0
60,128,5.0
60,129,9.0
60,165,4.0
60,184,5.0
60,235,4.0
60,250,9.0
61,269,3.0
61,70,3.0
61,72,7.0
61,270,3.0
61,271,3.0
61,84,19.0
61,89,15.0
61,272,5.0
61,96,11.0
61,98,4.0
61,109,5.0
61,111,96.0
61,119,12.0
61,121,25.0
61,128,15.0
61,129,6.0
61,132,6.0
61,134,4.0
61,273,3.0
61,152,3.0
61,158,3.0
61,161,6.0
61,163,4.0
61,164,3.0
61,165,37.0
61,167,3.0
61,179,4.0
61,183,5.0
61,274,6.0
61,275,6.0
61,184,58.0
61,235,7.0
61,189,19.0
61,191,10.0
61,195,3.0
61,250,33.0
61,255,3.0
61,276,4.0
61,236,4.0
61,226,17.0
61,252,3.0
61,228,7.0
61,232,7.0
61,254,16.0
61,277,4.0
62,90,4.0
62,156,5.0
62,160,3.0
62,217,5.0
62,278,5.0
63,99,3.0
63,187,7.0
63,214,7.0
63,215,4.0
63,221,5.0
64,75,4.0
64,85,4.0
64,279,9.0
64,146,3.0
64,157,5.0
64,160,4.0
64,194,3.0
64,196,4.0
64,204,11.0
64,217,21.0
64,219,3.0
64,234,32.0
65,133,4.0
66,161,3.0
67,133,5.0
67,160,4.0
67,217,14.0
68,280,3.0
68,236,4.0
69,133,7.0
69,281,3.0
70,237,3.0
70,94,4.0
70,170,5.0
70,173,3.0
70,174,4.0
70,282,5.0
70,184,4.0
70,195,3.0
70,232,3.0
71,164,3.0
72,232,4.0
73,224,3.0
74,94,3.0
74,120,3.0
74,162,3.0
74,265,3.0
75,133,10.0
75,187,4.0
75,194,6.0
75,195,7.0
75,201,5.0
75,241,3.0
75,217,6.0
75,221,9.0
75,283,4.0
75,234,4.0
76,78,8.0
76,90,3.0
76,112,4.0
76,124,4.0
76,133,25.0
76,268,3.0
76,206,3.0
77,191,6.0
78,104,3.0
78,115,4.0
78,124,4.0
78,133,15.0
79,104,3.0
79,206,3.0
80,228,7.0
81,132,4.0
82,114,6.0
82,221,3.0
83,133,4.0
83,268,5.0
84,93,4.0
84,111,12.0
84,189,5.0
84,250,12.0
85,219,3.0
86,102,4.0
86,122,4.0
86,133,3.0
87,170,3.0
88,133,5.0
88,284,3.0
89,111,4.0
89,161,4.0
89,184,49.0
89,236,3.0
90,133,10.0
90,156,3.0
90,160,4.0
90,205,8.0
91,133,3.0
91,136,3.0
91,156,3.0
91,160,3.0
91,217,9.0
92,111,5.0
92,141,4.0
92,255,6.0
93,274,5.0
94,120,3.0
94,162,3.0
94,282,3.0
94,265,3.0
95,181,3.0
95,285,3.0
96,111,3.0
96,121,4.0
96,250,6.0
97,100,5.0
97,148,5.0
98,109,4.0
98,129,5.0
98,250,3.0
99,215,7.0
99,221,3.0
100,148,3.0
100,182,3.0
100,247,3.0
101,260,8.0
102,122,3.0
102,133,4.0
103,119,3.0
103,132,13.0
103,145,4.0
103,286,3.0
103,183,5.0
103,200,26.0
103,226,54.0
103,230,4.0
103,233,5.0
104,115,5.0
104,133,10.0
104,144,3.0
104,287,4.0
104,206,6.0
105,148,3.0
106,132,18.0
106,288,4.0
107,221,5.0
108,289,4.0
109,129,8.0
110,140,5.0
110,267,6.0
111,121,3.0
111,128,3.0
111,141,9.0
111,290,5.0
111,165,6.0
111,274,3.0
111,184,15.0
111,189,13.0
111,250,29.0
111,255,5.0
111,251,3.0
112,133,4.0
112,160,3.0
112,268,3.0
112,291,5.0
113,131,11.0
113,258,21.0
114,127,4.0
114,203,3.0
114,221,10.0
115,133,4.0
116,234,5.0
117,123,4.0
118,292,3.0
118,169,3.0
118,187,5.0
118,234,5.0
119,132,6.0
119,200,6.0
119,226,30.0
120,162,3.0
120,265,3.0
121,128,24.0
121,165,9.0
121,235,5.0
121,250,5.0
122,133,3.0
123,293,9.0
123,294,3.0
123,140,3.0
123,195,4.0
123,226,4.0
123,295,6.0
124,133,16.0
125,190,3.0
126,133,11.0
126,281,3.0
127,187,12.0
127,201,3.0
127,203,3.0
127,216,3.0
127,221,24.0
128,165,10.0
128,235,5.0
128,250,3.0
129,235,6.0
130,256,3.0
130,226,10.0
131,258,21.0
132,145,11.0
132,288,9.0
132,296,3.0
132,191,7.0
132,195,8.0
132,200,12.0
132,226,37.0
132,227,4.0
132,252,6.0
132,230,9.0
133,144,18.0
133,155,5.0
133,156,25.0
133,160,48.0
133,268,14.0
133,171,3.0
133,176,10.0
133,291,3.0
133,178,7.0
133,181,5.0
133,281,3.0
133,297,23.0
133,194,10.0
133,287,6.0
133,205,14.0
133,241,3.0
133,206,15.0
133,209,38.0
133,211,4.0
133,213,6.0
133,298,3.0
133,217,73.0
133,299,4.0
133,223,6.0
133,224,50.0
133,248,12.0
133,300,3.0
133,278,37.0
133,301,3.0
133,257,5.0
133,302,11.0
133,303,14.0
134,172,4.0
134,179,9.0
134,226,27.0
135,156,3.0
135,160,4.0
136,192,7.0
136,217,10.0
137,225,3.0
137,226,3.0
138,184,3.0
139,228,12.0
140,152,5.0
140,289,5.0
140,188,6.0
140,304,3.0
140,256,11.0
140,227,3.0
140,252,3.0
141,255,4.0
141,251,3.0
142,242,6.0
143,258,6.0
144,223,4.0
144,224,3.0
144,302,9.0
145,200,5.0
145,226,16.0
145,230,5.0
145,233,3.0
146,234,4.0
147,228,3.0
148,245,3.0
149,214,3.0
150,217,3.0
151,191,4.0
152,289,4.0
152,188,5.0
152,266,3.0
153,194,4.0
154,296,7.0
155,171,3.0
155,209,5.0
156,160,6.0
156,187,7.0
156,203,4.0
156,216,5.0
156,217,16.0
156,221,9.0
156,224,12.0
156,278,6.0
156,260,3.0
157,217,3.0
158,276,4.0
159,217,3.0
160,297,6.0
160,209,11.0
160,213,3.0
160,217,32.0
160,303,3.0
161,184,14.0
161,236,9.0
162,265,3.0
163,274,3.0
164,274,4.0
165,184,3.0
165,250,6.0
166,208,10.0
166,267,12.0
167,198,4.0
167,226,7.0
167,228,21.0
168,226,4.0
169,217,7.0
170,217,3.0
170,256,8.0
170,305,4.0
170,226,5.0
171,178,3.0
171,209,8.0
172,179,4.0
172,226,8.0
172,306,12.0
173,174,8.0
173,307,7.0
174,307,6.0
175,184,3.0
176,301,4.0
177,209,3.0
177,211,3.0
178,209,7.0
178,302,3.0
179,218,4.0
179,226,59.0
179,306,9.0
180,252,4.0
181,285,4.0
182,247,5.0
183,226,6.0
184,236,14.0
185,266,4.0
186,228,3.0
187,201,14.0
187,214,5.0
187,215,6.0
187,217,8.0
187,221,87.0
187,308,3.0
187,234,5.0
187,309,7.0
188,266,3.0
189,250,5.0
190,234,3.0
191,195,7.0
192,217,3.0
193,194,3.0
193,221,4.0
194,197,3.0
194,217,6.0
194,221,7.0
194,234,3.0
195,217,11.0
195,256,4.0
195,227,3.0
195,278,3.0
195,232,3.0
195,283,3.0
196,217,4.0
197,221,3.0
198,228,7.0
199,221,4.0
200,226,20.0
200,230,12.0
200,233,9.0
201,217,13.0
201,221,14.0
201,310,4.0
201,234,5.0
202,217,3.0
203,216,5.0
203,221,12.0
204,217,8.0
205,217,8.0
206,209,4.0
207,226,8.0
207,306,4.0
208,267,12.0
209,211,8.0
209,217,14.0
209,278,15.0
209,302,5.0
210,311,4.0
211,217,4.0
211,278,4.0
212,226,4.0
213,217,3.0
214,215,6.0
214,221,4.0
215,221,8.0
215,309,3.0
216,221,7.0
217,220,3.0
217,221,10.0
217,256,7.0
217,248,7.0
217,226,3.0
217,227,3.0
217,278,15.0
217,312,3.0
217,234,19.0
218,226,7.0
218,306,6.0
219,234,3.0
220,234,3.0
221,310,3.0
221,229,6.0
221,308,6.0
221,313,3.0
221,314,4.0
221,234,3.0
221,309,5.0
222,260,7.0
223,224,8.0
224,278,9.0
224,301,9.0
225,226,8.0
226,311,4.0
226,227,18.0
226,252,7.0
226,230,15.0
226,306,17.0
226,233,11.0
227,315,3.0
228,316,3.0
229,308,10.0
230,233,14.0
